Souk,https://www.tripadvisor.com/Restaurant_Review-g304554-d1382038-Reviews-Souk-Mumbai_Bombay_Maharashtra.html,Lip sacking,romantic dinner,,,
Le Pain Quotidien,https://www.tripadvisor.com/Restaurant_Review-g304554-d6027760-Reviews-Le_Pain_Quotidien-Mumbai_Bombay_Maharashtra.html,"Minimalist menu, good value",Very good and great location.,,,
Guru Kripa,https://www.tripadvisor.com/Restaurant_Review-g304554-d2183551-Reviews-Guru_Kripa-Mumbai_Bombay_Maharashtra.html,Yummy Chat place in Mumbai,"Yummy Pani Puri, Samosa & Kulfi Falooda",,,
Banana Leaf,https://www.tripadvisor.com/Restaurant_Review-g304554-d1088620-Reviews-Banana_Leaf-Mumbai_Bombay_Maharashtra.html,Terrific food,Value dining with good quality food,,,
Cafe Royal,https://www.tripadvisor.com/Restaurant_Review-g304554-d1146988-Reviews-Cafe_Royal-Mumbai_Bombay_Maharashtra.html,The Royal Steak is to die for.,Sizzler heaven,,,
Hard Rock Cafe,https://www.tripadvisor.com/Restaurant_Review-g304554-d4788179-Reviews-Hard_Rock_Cafe-Mumbai_Bombay_Maharashtra.html,live music on thurday,"Good location, good cafe!",,,
Spesso Gourmet Kitchen,https://www.tripadvisor.com/Restaurant_Review-g304554-d4961363-Reviews-Spesso_Gourmet_Kitchen-Mumbai_Bombay_Maharashtra.html,Good vegetarian option,"Italian, Spanish, Mexican, Moroccan food w...",,,
Boulevard,https://www.tripadvisor.com/Restaurant_Review-g304554-d801597-Reviews-Boulevard-Mumbai_Bombay_Maharashtra.html,Made mother's day memorable,A great Place to have a lazy Sunday mornin...,,,
Facing East,https://www.tripadvisor.com/Restaurant_Review-g304554-d3876872-Reviews-Facing_East-Mumbai_Bombay_Maharashtra.html,Possibly the best chinese food in Juhu,"Unique flavors, different from regular Ind...",,,
Royal China,https://www.tripadvisor.com/Restaurant_Review-g304554-d782361-Reviews-Royal_China-Mumbai_Bombay_Maharashtra.html,Yum Chinese food,Excellent food!,,,
The Sahib Room & Kipling Bar,https://www.tripadvisor.com/Restaurant_Review-g304554-d7273778-Reviews-The_Sahib_Room_Kipling_Bar-Mumbai_Bombay_Maharashtra.html,Good North Indian food and service,Great food but pricey,,,
